50864 ; 56688 ; 5824
51764 ; 56760 ; 4996
52052 ; 56760 ; 4708
52212 ; 56760 ; 4548
51640 ; 56760 ; 5120
52264 ; 56760 ; 4496
51656 ; 56760 ; 5104
52340 ; 56760 ; 4420
52268 ; 56760 ; 4492
52552 ; 56760 ; 4208
52556 ; 56780 ; 4224
52268 ; 56784 ; 4516
54440 ; 56784 ; 2344
54440 ; 56840 ; 2400
54496 ; 56840 ; 2344
54496 ; 56840 ; 2344
54496 ; 56844 ; 2348
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56844 ; 2344
54500 ; 56912 ; 2412
54568 ; 56912 ; 2344
54568 ; 56912 ; 2344
54568 ; 56912 ; 2344
54568 ; 56912 ; 2344
54568 ; 56912 ; 2344
54568 ; 56912 ; 2344
54568 ; 56912 ; 2344
54568 ; 56912 ; 2344
54568 ; 56976 ; 2408
